name,age,sex,major,gpa,hobbies,country,id,province,level
Thomas Ibarra,24,Male,Biochemistry,2.83,"['table tennis', 'photography']",USA,id_1,Massachusetts,Senior
Timothy Wilson PhD,23,Male,Business Administration,2.37,"['snowboarding', 'ice skating']",Canada,id_2,Ontario,Senior
Nancy Brown,23,Female,Archaeology,3.44,"['dancing', 'bouldering']",USA,id_3,Iowa,Sophomore
Donna Reyes,19,Female,Mechanical Engineering,2.35,"['astronomy', 'geocaching']",Canada,id_4,Ontario,Senior
Mary Gonzales,24,Female,Sociology,2.42,"['puzzle solving', 'bird watching']",Canada,id_5,Ontario,Freshman
Tanner York,24,Male,Culinary Arts,3.94,"['cooking', 'weightlifting']",USA,id_6,Illinois,Sophomore
Maria Jones,19,Female,Political Science,2.79,"['horseback riding', 'cycling']",Canada,id_7,Ontario,Freshman
Jessica Blankenship,23,Female,Music,2.18,"['skateboarding', 'woodworking']",Canada,id_8,Ontario,Freshman
Jamie Taylor,19,Female,Computer Science,2.7199999999999998,"['poetry', 'calligraphy']",USA,id_9,California,Junior
Bryan Watson,24,Male,Classics,3.79,"['volunteering', 'LARPing']",USA,id_10,Georgia,Sophomore
Amy Olson,23,Female,Neuroscience,2.26,"['archery', 'foraging']",Canada,id_11,Saskatchewan,Sophomore
Kimberly Miller,24,Female,Public Health,2.04,"['reading', 'woodworking']",USA,id_12,Michigan,Freshman
Donna Stone,18,Female,Dentistry,3.07,"['horseback riding', 'programming']",Canada,id_13,Ontario,Sophomore
Craig Gray,18,Male,Graphic Communication,2.48,"['fitness training', 'fashion design']",USA,id_14,California,Senior
Sandra Gonzalez,20,Female,Interior Design,2.9,"['metal detecting', 'martial arts']",Canada,id_15,Saskatchewan,Freshman
Joseph Banks,20,Male,Nursing,3.49,"['scrapbooking', 'gardening']",Canada,id_16,British Columbia,Freshman
Taylor Perez,24,Male,Philosophy,3.17,"['animation', 'snowboarding']",USA,id_17,Arkansas,Senior
Haley Miller,24,Female,Graphic Design,3.92,"['graphic design', 'tarot reading']",Canada,id_18,Alberta,Freshman
Debra Williams,24,Female,Architecture,2.39,"['beekeeping', 'board games']",Canada,id_19,Quebec,Junior
Jason George,20,Male,Marine Biology,3.56,"['sports', 'animal rescue']",Canada,id_20,British Columbia,Senior
Sarah Clark,18,Female,Ecology,2.5,"['skydiving', 'bird training']",Canada,id_21,Newfoundland and Labrador,Sophomore
Christian Martin,18,Male,Molecular Biology,2.27,"['whittling', 'skiing']",Canada,id_22,Alberta,Junior
Jeffrey Serrano,20,Male,Marine Biology,2.3,"['traveling', 'dodgeball']",Canada,id_23,Ontario,Junior
Jenna Terry,22,Female,Biomedical Engineering,2.63,"['wine tasting', 'yoga']",Canada,id_24,Ontario,Junior
Jennifer Moore,18,Female,Psychology,2.19,"['podcasting', 'philately']",USA,id_25,Florida,Freshman
Angel Lee,24,Male,Dance,3.67,"['skiing', 'writing']",Canada,id_26,British Columbia,Freshman
Timothy Franklin,18,Male,Archaeology,3.3,"['bird training', 'puppetry']",USA,id_27,Arkansas,Junior
Kaitlin Soto,23,Female,Chemical Engineering,2.68,"['pottery', 'scrapbooking']",Canada,id_28,Quebec,Sophomore
Mr. Michael Miller,19,Male,Nuclear Engineering,3.37,"['stone carving', 'whittling']",USA,id_29,Florida,Sophomore
Cynthia Aguilar,20,Female,Marketing,2.22,"['sports', 'card games']",Canada,id_30,Ontario,Junior
